Customer ID,Frequency,TotalSpent,Country
12346.0,15,-64.68,United Kingdom
12347.0,2,1323.32,Iceland
12348.0,1,222.16,Finland
12349.0,4,2646.99,Italy
12351.0,1,300.93,Unspecified
12352.0,2,343.8,Norway
12353.0,1,317.76,Bahrain
12355.0,1,488.21000000000004,Bahrain
12356.0,3,3562.25,Portugal
12357.0,2,12079.99,Switzerland
12358.0,3,2719.01,Austria
12359.0,8,2469.36,Cyprus
12360.0,6,1550.83,Austria
12361.0,3,321.35,Belgium
12362.0,1,130.0,Belgium
12366.0,1,500.24,Cyprus
12368.0,1,917.6999999999999,Cyprus
12369.0,3,1791.15,Austria
12370.0,3,774.62,Austria
12371.0,3,2179.42,Switzerland
12373.0,2,763.0500000000001,Austria
12374.0,3,2246.29,Austria
12376.0,2,503.15,Switzerland
12377.0,2,1798.2,Switzerland
12378.0,1,1407.7,Switzerland
12379.0,2,767.98,Belgium
12380.0,10,5167.44,Belgium
12382.0,1,-18.38,Netherlands
12385.0,2,1923.4,Belgium
12386.0,1,258.9,Australia
12387.0,1,143.94,Australia
12388.0,2,1120.45,Australia
12389.0,3,1433.33,Australia
12391.0,6,2286.93,Cyprus
12392.0,1,234.75000000000003,Australia
12393.0,3,794.15,Australia
12395.0,4,2048.64,Belgium
12396.0,1,931.43,RSA
12399.0,3,853.65,Belgium
12400.0,1,205.25,Australia
12402.0,6,1018.55,Belgium
12403.0,1,591.6600000000001,Denmark
12404.0,1,63.24,Finland
12406.0,4,2791.46,Denmark
12408.0,5,1437.07,Belgium
12409.0,6,12033.539999999999,Switzerland
12410.0,1,320.38,Switzerland
12411.0,1,346.9,Australia
12412.0,5,1354.15,Denmark
12413.0,1,241.35,Spain
12414.0,5,130.0,Austria
12415.0,7,19543.84,Australia
12416.0,1,202.56,Australia
12417.0,15,3129.41,Belgium
12418.0,4,1348.37,Switzerland
12419.0,2,503.01,Spain
12421.0,3,286.56,Spain
12422.0,18,3315.79,Australia
12423.0,2,763.08,Denmark
12424.0,5,1528.82,Australia
12425.0,2,903.61,Portugal
12426.0,2,728.6800000000001,Germany
12427.0,1,303.5,Germany
12429.0,6,3685.11,Denmark
12431.0,16,4303.02,Belgium
12433.0,6,7052.99,Norway
12434.0,1,297.29,Australia
12435.0,4,6096.04,Denmark
12437.0,28,7498.19,France
12439.0,3,1104.48,Cyprus
12440.0,3,768.15,Austria
12441.0,1,173.55,France
12443.0,1,485.31,Norway
12445.0,2,293.08000000000004,Spain
12449.0,2,768.6,Denmark
12450.0,5,469.07,Spain
12451.0,4,3613.0099999999998,Switzerland
12454.0,7,4292.71,Spain
12455.0,4,3413.09,Cyprus
12457.0,2,554.53,Switzerland
12458.0,2,830.09,Switzerland
12459.0,1,454.36,Spain
12460.0,1,326.65,Belgium
12466.0,1,56.73,France
12467.0,2,0.0,USA
12468.0,7,2900.5099999999998,Germany
12469.0,2,3070.54,Thailand
12470.0,1,211.95,Unspecified
12471.0,81,19207.69,Germany
12472.0,26,10727.21,Germany
12474.0,25,4849.98,Germany
12475.0,1,426.26,Germany
12476.0,18,7169.04,Germany
12477.0,3,7056.63,Germany
12480.0,4,2153.4700000000003,Germany
12481.0,8,6626.17,Germany
12482.0,32,21893.53,Sweden
12483.0,14,2519.7400000000002,Sweden
12484.0,8,1808.58,Spain
12485.0,1,708.1,Sweden
12486.0,1,1037.28,Sweden
12487.0,2,259.79999999999995,Sweden
12490.0,12,4400.71,France
12492.0,1,452.0,Germany
12494.0,5,604.17,France
12495.0,2,323.4,Sweden
12496.0,2,54.09,Spain
12497.0,3,5168.650000000001,Germany
12499.0,1,393.72,Germany
12500.0,12,1666.04,Germany
12503.0,1,1126.0,Spain
12504.0,2,297.0,Germany
12505.0,2,912.5,Italy
12507.0,1,539.25,Spain
12510.0,14,2706.76,Spain
12511.0,2,3065.77,Greece
12514.0,1,580.08,Italy
12516.0,2,1336.56,Germany
12519.0,2,354.35,Germany
12523.0,17,2475.28,France
12524.0,10,6605.64,Germany
12525.0,8,835.1800000000001,France
12527.0,2,386.8,Germany
12529.0,2,311.78000000000003,France
12530.0,7,2066.23,Germany
12531.0,2,1773.83,Germany
12533.0,6,1149.99,Germany
12537.0,1,732.94,Sweden
12538.0,1,276.5,Spain
12539.0,3,5646.400000000001,Spain
12540.0,17,8798.25,Spain
12542.0,4,423.38,Spain
12543.0,1,980.25,Spain
12547.0,1,175.78,Spain
12549.0,6,1575.68,USA
12553.0,3,896.57,France
12554.0,1,468.5,Spain
12555.0,1,129.23,Spain
12557.0,4,6725.18,Spain
12562.0,2,1185.18,France
12563.0,1,249.24,Italy
12567.0,8,4278.88,France
12568.0,1,70.0,Germany
12570.0,1,77.52,Spain
12573.0,4,556.87,France
12575.0,2,622.8199999999999,France
12576.0,5,776.89,Poland
12577.0,5,995.9499999999999,France
12578.0,3,1819.0900000000001,Italy
12580.0,1,637.2,Germany
12582.0,2,1469.04,Finland
12583.0,14,7157.5599999999995,France
12586.0,4,1848.73,Italy
12588.0,4,724.08,Finland
12589.0,9,2447.49,France
12590.0,2,-7.9,Germany
12591.0,2,899.3,Italy
12592.0,6,715.02,Germany
12594.0,6,1724.29,Italy
12595.0,1,299.02,Germany
12598.0,6,1411.99,France
12599.0,6,1264.14,France
12600.0,16,2374.75,Germany
12601.0,1,104.19999999999999,Germany
12605.0,5,1225.45,Germany
12606.0,1,21.0,Spain
12608.0,1,415.79,United Kingdom
12609.0,7,2291.01,Germany
12613.0,7,3372.54,Germany
12615.0,7,3273.69,France
12616.0,2,388.1,France
12619.0,1,140.14,Germany
12621.0,22,10967.24,Germany
12623.0,8,3334.7400000000002,Germany
12625.0,2,2481.06,Germany
12629.0,2,1558.22,Sweden
12631.0,6,2811.77,Finland
12632.0,4,738.88,Germany
12633.0,5,3454.58,Germany
12634.0,2,490.0,USA
12635.0,2,1241.23,Germany
12636.0,1,141.0,USA
12637.0,4,2318.41,France
12638.0,1,249.8,Sweden
12639.0,2,826.27,Sweden
12643.0,8,4536.26,France
12644.0,5,1337.63,Germany
12645.0,5,1743.72,Germany
12647.0,35,14012.87,Germany
12648.0,4,778.95,Germany
12649.0,7,1634.99,Germany
12651.0,4,251.29999999999998,France
12652.0,1,97.05000000000001,Germany
12653.0,1,1950.98,Israel
12655.0,1,261.35,France
12656.0,4,2338.06,France
12661.0,1,162.0,Sweden
12662.0,11,3132.09,Germany
12663.0,3,204.0,Germany
12664.0,2,1188.16,Finland
12665.0,3,239.7,Germany
12666.0,1,1248.42,Israel
12668.0,6,7637.53,Germany
12670.0,2,764.24,France
12671.0,1,2622.481,Germany
12672.0,2,184.6,France
12673.0,1,619.5,Germany
12675.0,4,934.8,Italy
12676.0,6,1441.7,Sweden
12677.0,3,389.3,France
12678.0,10,16262.87,France
12681.0,30,16874.17,France
12682.0,24,11657.59,France
12683.0,9,4197.51,France
12686.0,1,89.14,France
12687.0,2,2138.91,Sweden
12691.0,1,134.6,France
12692.0,1,110.95,France
12693.0,5,809.46,Germany
12694.0,2,969.78,France
12695.0,3,825.02,France
12696.0,3,801.15,Finland
12698.0,1,339.75,Germany
12699.0,1,638.11,Germany
12701.0,4,1648.7,Germany
12703.0,5,617.48,Germany
12705.0,8,4739.76,Germany
12706.0,1,-91.89,Finland
12708.0,15,2501.84,Germany
12709.0,30,21018.51,Germany
12711.0,2,1339.05,Germany
12712.0,14,2738.03,Germany
12714.0,7,9384.85,France
12717.0,1,277.93,Greece
